Barris	Nacionalitat	Total	Genere
el Campden Grassot i Gracia Nova	RegneUnit	98	Home
el Baix Guinardo	RegneUnit	65	Home
Can Baro	RegneUnit	17	Home
el Guinardo	RegneUnit	66	Home
la Font d en Fargues	RegneUnit	15	Home
el Carmel	RegneUnit	33	Home
la Teixonera	RegneUnit	10	Home
Sant Genis dels Agudells	RegneUnit	8	Home
Montbau	RegneUnit	4	Home
la Vall d Hebron	RegneUnit	2	Home
la Clota	RegneUnit	0	Home
Horta	RegneUnit	22	Home
Vilapicina i la Torre Llobeta	RegneUnit	17	Home
Porta	RegneUnit	15	Home
el Turo de la Peira	RegneUnit	18	Home
Can Peguera	RegneUnit	0	Home
la Guineueta	RegneUnit	6	Home
Canyelles	RegneUnit	1	Home
les Roquetes	RegneUnit	11	Home
Verdun	RegneUnit	10	Home
la Prosperitat	RegneUnit	7	Home
la Trinitat Nova	RegneUnit	4	Home
Torre Baro	RegneUnit	3	Home
Ciutat Meridiana	RegneUnit	4	Home
Vallbona	RegneUnit	2	Home
la Trinitat Vella	RegneUnit	3	Home
Baro de Viver	RegneUnit	1	Home
el Bon Pastor	RegneUnit	5	Home
Sant Andreu	RegneUnit	53	Home
la Sagrera	RegneUnit	29	Home
el Congres i els Indians	RegneUnit	22	Home
Navas	RegneUnit	27	Home
el Camp del Arpa del Clot	RegneUnit	117	Home
el Clot	RegneUnit	56	Home
el Parcila Llacuna del Poblenou	RegneUnit	93	Home
la Vila Olimpica del Poblenou	RegneUnit	44	Home
el Poblenou	RegneUnit	205	Home
Diagonal Mariel Front Maritim del Poblenou	RegneUnit	63	Home
el Besos i el Maresme	RegneUnit	18	Home
Provençals del Poblenou	RegneUnit	44	Home
Sant Marti de Provençals	RegneUnit	21	Home
la Verneda i la Pau	RegneUnit	3	Home
el Raval	Alemanya	204	Home
el Barri Gotic	Alemanya	185	Home
la Barceloneta	Alemanya	112	Home
Sant Pere Santa Caterina i la Ribera	Alemanya	203	Home
el Fort Pienc	Alemanya	105	Home
la Sagrada Familia	Alemanya	108	Home
la Dreta del Eixample	Alemanya	252	Home
l Antiga Esquerra del Eixample	Alemanya	200	Home
la Nova Esquerra del Eixample	Alemanya	165	Home
Sant Antoni	Alemanya	134	Home
el Poble Sec- A E I Parc Montjuïc	Alemanya	130	Home
la Marina del Prat Vermell- A E I Zona Franca	Alemanya	0	Home
la Marina de Port	Alemanya	9	Home
la Font de la Guatlla	Alemanya	29	Home
Hostafrancs	Alemanya	30	Home
la Bordeta	Alemanya	20	Home
Sants- Badal	Alemanya	28	Home
Sants	Alemanya	57	Home
les Corts	Alemanya	77	Home
la Maternitat i Sant Ramon	Alemanya	27	Home
Pedralbes	Alemanya	48	Home
Vallvidrerael Tibidabo i les Planes	Alemanya	31	Home
Sarria	Alemanya	78	Home
les Tres Torres	Alemanya	36	Home
Sant Gervasi-la Bonanova	Alemanya	54	Home
Sant Gervasi- Galvany	Alemanya	165	Home
el Putxet i el Farro	Alemanya	80	Home
Vallcarca i els Penitents	Alemanya	56	Home
el Coll	Alemanya	18	Home
la Salut	Alemanya	39	Home
la Vila de Gracia	Alemanya	267	Home
el Campden Grassot i Gracia Nova	Alemanya	77	Home
el Baix Guinardo	Alemanya	35	Home
Can Baro	Alemanya	20	Home
el Guinardo	Alemanya	48	Home
la Font d en Fargues	Alemanya	16	Home
el Carmel	Alemanya	23	Home
la Teixonera	Alemanya	8	Home
