Barris	TOTAL	Total_Europa	Espanya	Itàlia	França	RegneUnit	Alemanya	Romania	Rússia	Portugal	Ucraïna	PaïsosBaixos	Polònia	Bulgària	Suècia	Bèlgica	Grècia	Irlanda	Suïssa	Resta_Europa		Total_Africa	Marroc,el	Algèria	Senegal	Resta_Africa		Total_America	Colòmbia	Hondures	Perú	Veneçuela	Bolívia	Equador	Argentina	Brasil	RepúblicaDominicana	EstatsUnits,els	Mèxic	Xile	Paraguai	Cuba	ElSalvador	Uruguai	Resta_America		Total_Asia	Xina	Pakistan	Filipines	Índia	Bangladesh	Geòrgia	Armènia	Japó	Nepal	Turquia	Resta_Asia		Oceania	Apàtrides_noconsta
632.elCampdenGrassotiGràciaNova	19.016	17.397	16.052	438	209	80	61	100	84	66	38	22	50	14	30	18	16	8	10	101		75	47	5	3	20		1.049	109	94	86	110	68	46	87	95	24	65	77	80	23	24	16	16	29		488	195	42	20	37	11	23	27	18	46	20	49		4	3
733.elBaixGuinardó	14.006	12.684	11.949	253	94	35	31	61	44	35	33	9	31	14	7	6	6	7	2	67		72	45	6	2	19		935	112	72	111	134	65	58	66	54	19	23	35	35	70	29	19	18	15		311	140	37	8	14	1	30	3	15	26	6	31		4	0
734.CanBaró	4.893	4.418	4.111	76	41	12	32	18	28	8	19	3	13	6	6	6	3	0	3	33		36	23	7	0	6		318	45	57	29	33	22	19	20	14	2	7	5	19	15	5	8	3	15		120	49	20	3	6	0	3	6	11	6	3	13		0	1
735.elGuinardó	19.784	17.662	16.614	284	126	40	53	103	90	57	72	10	47	24	20	14	9	2	5	92		166	114	6	5	41		1.577	232	226	165	137	122	106	98	76	74	21	40	44	110	32	36	18	40		373	144	49	18	19	0	51	33	13	9	5	32		4	2
736.laFontdenFargues	5.012	4.795	4.625	38	24	12	9	21	12	7	12	2	9	1	1	8	0	3	0	11		6	3	1	0	2		178	23	32	3	21	18	11	13	6	1	5	8	7	9	6	7	4	4		33	8	0	2	2	0	7	4	1	0	0	9		0	0
737.elCarmel	16.896	14.801	14.100	152	36	22	27	107	103	33	61	6	42	31	9	6	3	7	1	55		183	140	13	10	20		1.530	112	280	156	122	209	168	67	47	63	16	19	27	109	15	66	14	40		382	94	105	19	23	2	59	37	5	12	1	25		0	0
738.laTeixonera	6.126	5.430	5.163	58	25	7	10	28	35	20	27	4	9	6	4	2	0	1	2	29		70	42	8	1	19		503	44	103	49	53	42	24	20	15	27	6	13	20	33	12	26	4	12		122	21	27	9	34	2	14	5	1	4	1	4		0	1
739.SantGenísdelsAgudells	3.923	3.464	3.294	34	14	3	11	7	20	6	29	3	8	4	1	1	2	1	1	25		36	20	5	0	11		364	31	63	63	44	28	24	16	8	12	6	9	8	25	2	7	7	11		59	16	10	2	1	1	11	0	3	7	0	8		0	0
740.Montbau	2.848	2.575	2.466	37	5	5	2	13	12	8	10	0	2	3	1	0	2	1	0	8		22	17	1	0	4		209	30	26	20	18	10	4	15	17	9	0	6	22	13	5	3	4	7		42	18	6	1	3	0	2	4	1	1	1	5		0	0
741.laValldHebron	3.062	2.868	2.759	20	10	3	7	16	18	2	14	0	3	4	0	0	3	2	0	7		11	4	0	2	5		150	25	18	17	30	4	7	5	12	2	5	4	12	5	3	0	0	1		32	16	0	0	4	0	3	2	0	0	1	6		1	0
742.laClota	331	301	292	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1		3	1	2	0	0		19	4	4	1	2	0	0	3	1	0	1	1	0	1	1	0	0	0		8	0	4	0	0	0	4	0	0	0	0	0		0	0
