Barris	TOTAL	Total_Europa	Espanya	Itàlia	França	RegneUnit	Alemanya	Romania	Rússia	Portugal	Ucraïna	PaïsosBaixos	Polònia	Bulgària	Suècia	Bèlgica	Grècia	Irlanda	Suïssa	Resta_Europa		Total_Africa	Marroc,el	Algèria	Senegal	Resta_Africa		Total_America	Colòmbia	Hondures	Perú	Veneçuela	Bolívia	Equador	Argentina	Brasil	RepúblicaDominicana	EstatsUnits,els	Mèxic	Xile	Paraguai	Cuba	ElSalvador	Uruguai	Resta_America		Total_Asia	Xina	Pakistan	Filipines	Índia	Bangladesh	Geòrgia	Armènia	Japó	Nepal	Turquia	Resta_Asia		Oceania	Apàtrides_noconsta
848.laGuineueta	7.071	6.630	6.458	45	8	6	3	41	13	8	27	4	5	3	3	1	0	0	1	4		32	17	1	2	12		290	35	35	33	15	30	37	16	15	18	2	7	2	21	11	1	2	10		119	43	26	7	2	4	13	16	1	0	1	6		0	0
849.Canyelles	3.270	3.128	3.082	9	0	1	0	7	5	5	10	0	1	0	0	0	1	0	0	7		23	11	1	3	8		87	8	16	10	8	2	10	2	3	6	0	4	4	6	2	4	2	0		32	7	8	0	1	0	10	1	0	0	0	5		0	0
850.lesRoquetes	7.811	6.291	5.997	53	7	11	2	81	28	10	55	1	11	11	2	1	1	0	2	18		226	148	5	5	68		869	58	363	56	33	54	132	15	12	47	2	9	16	30	5	17	8	12		424	61	193	6	105	10	15	22	0	7	0	5		1	0
851.Verdun	5.865	4.768	4.576	51	12	10	5	24	22	14	36	1	2	7	1	1	0	1	0	5		131	72	17	2	40		648	46	218	66	26	49	67	19	16	65	2	10	11	17	14	9	7	6		318	87	92	21	44	0	18	46	2	0	0	8		0	0
852.laProsperitat	12.618	10.841	10.522	77	24	7	11	66	22	14	46	5	4	18	0	1	2	2	0	20		177	95	7	14	61		993	100	221	98	39	104	161	32	48	65	5	7	20	11	30	26	18	8		607	181	146	10	60	9	54	123	0	1	1	22		0	0
853.laTrinitatNova	3.652	2.873	2.751	29	2	4	2	25	16	5	29	0	0	0	1	2	0	0	0	7		151	71	8	16	56		323	36	78	34	20	29	50	5	10	27	1	2	5	10	0	10	2	4		304	25	135	0	46	1	17	71	0	0	0	9		1	0
854.TorreBaró	1.474	1.248	1.195	10	2	3	0	11	5	5	0	0	6	3	1	0	0	0	0	7		101	75	1	8	17		103	7	18	10	3	12	17	3	5	8	0	0	5	4	2	5	3	1		22	3	11	3	0	1	0	0	0	0	0	4		0	0
855.CiutatMeridiana	5.287	3.725	3.565	20	2	4	3	40	24	9	34	1	12	3	1	0	0	0	0	7		440	240	12	7	181		695	45	236	41	18	24	141	12	12	129	1	5	5	12	1	4	3	6		427	30	310	3	41	1	13	14	0	5	2	8		0	0
856.Vallbona	683	604	578	5	1	2	0	0	1	4	7	0	1	2	0	1	1	0	0	1		21	17	2	1	1		30	2	3	4	2	2	8	0	3	2	0	0	0	1	2	0	0	1		28	6	18	0	2	0	0	0	0	1	0	1		0	0
957.laTrinitatVella	5.277	3.701	3.483	41	4	3	5	80	10	9	29	8	1	9	2	2	2	0	1	12		434	307	30	12	85		434	48	46	66	21	30	79	18	23	41	2	1	6	14	6	14	10	9		708	35	518	3	62	12	41	24	0	1	1	11		0	0
